Metric,Models,Mean_r,Std_r,Min_r,Max_r,t_stat,p_value,Significant
?A1=A2,18,0.6241,0.2998,-0.327,0.9546,8.5817,0.0,Yes
?A1=A3+A4,18,0.553,0.3452,-0.3966,0.9381,6.6043,4e-06,Yes
?A1>A3,18,0.5842,0.4302,-0.8784,0.9848,5.5995,3.2e-05,Yes
?A1>A4,18,0.4648,0.3132,-0.4784,0.9277,6.1187,1.1e-05,Yes
?A3∅A4,18,-0.1245,0.5627,-0.9994,0.9756,-0.9125,0.374278,No
?A4=A1|3,18,0.3755,0.3858,-0.5668,0.9077,4.0129,0.000902,Yes
J(A1-A2),18,0.5732,0.4111,-0.7953,0.9887,5.749,2.4e-05,Yes
J(A3-A4),18,0.5611,0.5708,-0.9818,1.0,4.0536,0.000826,Yes
J(A4-A1|3),18,0.3507,0.4429,-0.8648,0.8964,3.2641,0.00457,Yes
